,source,date_time,year,link,content,queryword
0,peopleschina,2014-11-26 00:00:00.000000,2014,http://en.people.cn/n/2014/1126/c202936-8814220.html,"Those whom machines cannot replace have most at stake
For decades, people have been predicting how the rise of advanced computing and robotic technologies will affect our lives. On one side, there are warnings that robots will displace humans in the economy, destroying livelihoods, especially for low-skill workers. Others look forward to the vast economic opportunities that robots will present, claiming, for example, that they will improve productivity or take on undesirable jobs. The venture capitalist Peter Thiel, who recently joined the debate, falls into the latter camp, asserting that robots will save us from a future of high prices and low wages.
Figuring out which side is right requires, first and foremost, an understanding of the six ways that humans have historically created value: through our legs, our fingers, our mouths, our brains, our smiles and our minds. Our legs and other large muscles move things to where we need them to be, so our fingers can rearrange them into useful patterns. Our brains regulate routine activities, keeping the leg- and finger-work on track. Our mouths - indeed, our words, whether spoken or written - enable us to inform and entertain one another. Our smiles help us to connect with others, ensuring that we pull roughly in the same direction. Finally, our minds - our curiosity and creativity - identify and resolve important and interesting challenges.
Thiel, for his part, refutes the argument - often made by robot doomsayers - that the impact of artificial intelligence and advanced robotics on the labor force will mirror globalization's impact on advanced-country workers. Globalization hurt lower-skill workers in places like the US, as it enabled people from faraway countries to compete for the leg-and-finger positions in the global division of labor. Given that these new competitors demanded lower wages, they were the obvious choice for many companies.
According to Thiel, the key difference between this phenomenon and the rise of robots lies in consumption. Developing-country workers took advantage of the bargaining power that globalization afforded them to gain resources for their own consumption. Computers and robots, by contrast, do not consume anything except electricity, even as they complete leg, finger, and even brain activities faster and more efficiently than humans would.
Here, Thiel offers an example from his experience as CEO of PayPal. Instead of having humans scrutinize every item in every batch of 1,000,000 transactions for indications of fraud, PayPal's computers can approve the obviously legitimate transactions, and pass on the 1,000 or so that could be fraudulent for thoughtful consideration by a human. One worker and a computer system can thus do what PayPal would have had to hire 1,000 workers to do a generation ago. Given that the computer system does not need things like food, that thousand-fold increase in productivity will redound entirely to the benefit of the middle class.
Put another way, globalization lowered the wages of low-skill advanced-country workers because others would perform their jobs more cheaply, and then consume the value that they had created. Computers mean that higher-skill workers - and the lower-skill workers who remain to oversee the large robotic factories and warehouses - can spend their time on more valuable activities, assisted by computers that demand little.
Thiel's argument may be correct. But it is far from airtight.
In fact, Thiel seems to be running into the old diamonds-and-water paradox - water is essential, but costs nothing, whereas diamonds are virtually useless, but extremely expensive - albeit in a sophisticated and subtle way. The paradox exists because, in a market economy, the value of water is set not by the total usefulness of water (infinite) or by the average usefulness of water (very large), but by the marginal value of the last drop of water consumed (very low).
Similarly, the wages and salaries of low- and high-skill workers in the robot-computer economy of the future will not be determined by the (very high) productivity of the one lower-skill worker ensuring that all of the robots are in their places or the one high-skill worker reprogramming the software. Instead, compensation will reflect what workers outside the highly productive computer-robot economy are creating and earning.
The newly industrialized city of Manchester had the highest level of labor productivity the world had ever seen. But the factory workers' wages were set not by their extraordinary productivity, but by what they would earn if they returned to the potato fields of pre-famine Ireland.
So the question is not whether robots and computers will make human labor in the goods, high-tech services, and information-producing sectors infinitely more productive. They will. What really matters is whether the jobs outside of the robot-computer economy - jobs involving people's mouths, smiles, and minds - remain valuable and in high demand.
From 1850 to 1970 or so, rapid technological progress first triggered wage increases in line with productivity gains. Then came the protracted process of income-distribution equalization, as machines, installed to substitute for human legs, and fingers created more jobs in machine-minding, which used human brains and mouths, than it destroyed in sectors requiring routine muscle power or dexterity work. And rising real incomes increased leisure time, thereby boosting demand for smiles and the products of minds.
Will the same occur when machines take over routine brainwork? Maybe. But it is far from being a safe bet on which to rest an entire argument, as Thiel has.
(For the latest China news, please follow @PDChina on Twitter at http://www.twitter.com/PDChina and @PeoplesDaily on Facebook at http://www.facebook.com/PeoplesDaily)",'% artificial intelligence%'
1,peopleschina,2017-08-21 00:00:00.000000,2017,http://en.people.cn/n3/2017/0821/c202936-9258022.html,"CGTN photo
China’s first artificial intelligence assisted treatment center opened in Hefei, the capital of eastern China's Anhui Province on Sunday. It will carry out research to guide machine-learning, such as recognizing messages and using visual neural networks to solve problems.
The center features a voice-based information system, a computer-aided medical image diagnosis system and some other cutting-edge equipment. Studying multitudes of hospital imaging data, and two million real electronic patient cases, the system is expected to improve detection rates.
AI serves not only as a helping hand but also as a competitor for doctors. It takes a doctor about half an hour to scrutinize over 300 medical images, but through the artificial intelligence system, it only takes a few seconds.
The AI-assisted treatment simplifies the process of uploading imaging data, making a prescription, and developing new applications with technological achievements. It can ultimately be a vital solution for insufficient medical resources and could prove to be a giant step for China's medical treatment.",'% artificial intelligence%'
2,peopleschina,2017-08-17 00:00:00.000000,2017,http://en.people.cn/business/n3/2017/0817/c90778-9256571.html,"(From second left) Li Fushen, executive director & CFO of China Unicom (HK) Ltd, Wang Xiaochu, chairman & CEO of China Unicom (HK) Ltd, Lu Yimin, executive director& president of China Unicom (HK) Ltd, and Shao Guanglu, executive director & senior vice-president of China Unicom (HK) Ltd meet the media on Wednesday. ROY LIU / CHINA DAILY
Private capital takes role in State giant as it embarks on mixed-ownership reform scheme
China United Network Communications Group Co Ltd, the country's second-largest mobile carrier by subscribers, has agreed to raise a total of 78 billion yuan ($11.7 billion) from strategic investors, as part of the Chinese government's push to rejuvenate State-owned enterprises with private capital.
The strategic investors include Chinese tech heavyweights Tencent Holdings, Baidu Inc, JD.com Inc, Alibaba Group Holdings Ltd, Didi Chuxing, Suning Commerce Group, as well as Chinese car rail manufacturer CRRC Corp and financial insurance enterprise China Life Insurance Co Ltd. Other tech companies such as Yongyou Software Co and Wangsu Science & Technology, and domestic industrial funds also participated in the investment.
""We are the first SOE on the group level to undertake this mixed-ownership reform scheme. It's a historic opportunity for us to introduce well-established strategic investors to explore areas of cooperation with us, in a bid to improve our management structure with diversified shareholders,"" said Wang Xiaochu, CEO of China Unicom Hong Kong.
Wang said China Unicom will cooperate with strategic investors in the areas they specialize in.
""With the domestic IT giants, we will explore cooperative opportunities in retail systems, payment systems and cloud computing. With the industry funds, we will explore business opportunities with their numerous investor companies to create a win-win result.""
Tencent, which invested 11 billion yuan, accounted for 5.18 percent of equity interests in China Unicom's Shanghai-listed arm, Baidu poured in 7 billion yuan, accounting for 3.30 percent, while Alibaba and JD invested 4.3 billion yuan and 5 billion yuan, accounting for 2.04 percent and 2.36 percent, respectively, according to China Unicom.
The company said the mixed-ownership reform proposal was approved by the country's top economic regulator, the National Development and Reform Commission, and the share issue proposal has been approved by the board of China Unicom's listed company.
Furthermore, the Shanghai-listed arm will allot three board seats to private investors, and the mixed-ownership restructuring will be completed by the end of this year.
The investment is part of the government's drive for State behemoths to be revitalized with private capital, with China Unicom among the first batch of State-owned enterprises to see mixed-ownership reform.
""China Unicom is the biggest beneficiary of the mixed-ownership reform, as it could utilize cutting-edge technologies from internet giants, access more channels and potential customers, as well as enhance its telecom service quality through introducing new strategic investors,"" said Peter Liu, research director at consultancy Gartner Inc.
Liu added the telecom carrier will make more efforts in 4G network construction, boosting its broadband penetration rate across the country.
Xiang Ligang, chief executive of telecom industry website Cctime, said China Unicom will cooperate with newly introduced investors in the fields of big data, internet of things, artificial intelligence and cloud computing.
""It is expected that the move will boost China Unicom's 4G user base and improve network infrastructure construction,"" he said.
The telecom operator also said its first-half net profit rose 68.9 percent to 2.42 billion yuan from 1.43 billion yuan a year earlier, while its revenue fell slightly to 138.16 billion yuan from 140.26 billion yuan the previous year.
In the first half of 2017, its 4G subscriber group witnessed a net increase of 34.26 million to a total of 138.81 million.",'% artificial intelligence%'
3,peopleschina,2017-08-10 00:00:00.000000,2017,http://en.people.cn/business/n3/2017/0810/c90778-9253827.html,"China Mobile, China's leading telecom services provider, reported higher profit growth on Thursday for the first half of this year.
Profits attributable to equity shareholders rose 3.5 percent year on year to 62.7 billion yuan (about 9.4 billion U.S. dollars) in the first half, according to a company statement.
The growth was higher than the 0.2-percent increase in profits last year. Boosted by the announcement, the company's shares listed in Hong Kong rose 2.78 percent on Thursday.
Operating revenue in the first half reached 388.9 billion yuan, up 5 percent year on year, the company said.
Revenue from telecom services climbed 6.9 percent from a year earlier, with the growth rate higher than the industrial average.
Revenue from wireless data traffic reached 187.7 billion yuan, accounting for more than half of telecom services revenue, according to the company.
It now has the world's largest 4G network using the homegrown TD-LTE standard, with a total of 1.65 million 4G stations by the end of June.
The company saw its 4G users reach 594 million by the end of June, up 58.6 million from six months earlier.
""Out of every three 4G users in the world, there is one China Mobile customer,"" the company said, noting that it is on track to achieve a net annual increase of 100 million 4G users this year.
The company also posted solid growth in its Internet of Things service, with the total number of smart connections exceeding 150 million by the end of the first half.
The Internet of Things platform, together with its use in areas including industrial manufacturing, smart wearables, education, healthcare and municipal administration, has long-term growth potential, the company said.
It has started to build its mobile Internet of Things network in 346 cities across China and aims to add 100 million smart connections for the full year of 2017.
In the future, the company will upgrade its network to make it more based on big data and artificial intelligence, it said.
Field tests for 5G will begin this year, the company noted.
It said it will respond quickly to capture the opportunities brought by a new wave of information technology revolution and industry reform.
""We will now strive to become the leading operator in digital service innovation in the world,"" China Mobile chairman Shang Bing said in the statement.
China Mobile had 867 million mobile users as of the end of June, according to the statement.",'% artificial intelligence%'
4,peopleschina,2017-08-05 00:00:00.000000,2017,http://en.people.cn/n3/2017/0805/c90000-9251367.html,"BEIJING, Aug. 4 (Xinhua) -- A scanner magnifies a traditional Chinese painting by 200 times in an Artificial Intelligence Technology Center (AITC) in Beijing.
Based on big data technology, the machine is capable of recording the specific details of certain cultural relics. This can be used to tell fakes from originals.
The startup AITC in Yizhuang Economic and Technology Development area in the suburban Daxing district of Beijing was started in March by Hans Uszkoreit, scientific director at the German Research Center for Artificial Intelligence.
Uszkoreit said the center would focus on creating an AI service system and big data public technology platform. It will cooperate with companies that need the application of AI technology, such as JD.com, to make breakthrough in the fields of natural language processing and big data analysis.
Professor Uszkoreit and his company epitomize the foreign entrepreneurial rush in Beijing.
Beijing has hoped to attract more ""elite foreigners"" since it eased permanent-residence requirements in 2016. Twenty measures took effect on March 1, 2016, mainly targeting managerial-level professionals, Chinese born abroad, entrepreneurs and recently-graduated foreign students.
Zhongguancun, known in some quarters as ""China's Silicon Valley,"" has offered permanent-residence certificates in China to more than 280 foreigners since 2016.
Jahangir Raza from Pakistan just graduated from North China Electric Power University. He is working in the capital as a service manager for Beijing Aeonmed and is getting his work visa in China.
He expects a lot from his future career, and says he decided to stay in Beijing because of the great opportunities here.
Yang Zhongwei, International Marketing & Sales Director of Beijing Aeonmed, said the company would like to hire overseas staff because they can become the strong link between overseas markets and Chinese companies.
From common entrepreneurs to Nobel laureates, an increasing number of foreigners see Beijing as an ideal place for their business ideas.
THOMAS Beijing Research and Development Center was founded in Beihang University this February. The center named after Professor Thomas C. Sudhof, a winner of the 2013 Nobel Prize in Physiology or Medicine, was jointly founded by the city of Beijing, Beihang University and Professor Thomas C. Sudhof.
Focusing on repairing central nervous system injuries, the center has a multidisciplinary advantage and undertakes research into many areas, including pathophysiology, biomaterial modification, preparation techniques and repairing neural injuries.
Nils Pihl, a tech CEO in Beijing, born in Sweden, moved to Silicon Valley and then New York, but founded a tech startup in Beijing.
He wrote an article for the Business Insider, an American news website, to explain why he chose Beijing for his startup. Pihl believes Beijing is great for innovation.
""Beijing offered us cheap housing and food, a network of experienced mentors that were happy to take the time to help, steady access to some of the world's greatest engineering talent at a sixth of the cost of a junior engineer in Silicon Valley and access to a vast market of clients,"" he wrote.
Though for Pihl it was never about costs alone.
""Beijing attracts large numbers of truly driven, creative and interesting people,"" he wrote.",'% artificial intelligence%'
5,peopleschina,2017-05-27 00:00:00.000000,2017,http://en.people.cn/n3/2017/0527/c90000-9221541.html,"(Photo/CGTN)
The world’s No.1 weiqi (Go) player Ke Jie lost the contest against his artificial intelligence (AI) rival, AlphaGo, in the third and also final match of the summit on Saturday.
This match began at 10:30 BJT in Wuzhen, east China’s Zhejiang Province, with AlphaGo playing the black and Ke white.
Ke showed his brilliant weiqi skills as he said he will “fight till the end,” though he lost his previous two matches against AlphaGo on Tuesday and Thursday.
AlphaGo made the first “impolite” move as it did on Thursday – to put the black stone on the bottom-right corner of the weiqi board. It is a Chinese tradition that the first stone is usually placed around the top-right corner and this is what weiqi coaches always teach beginners.
“I think the black already wins,” said Nie Weiping, vice president of the Chinese Weiqi Association, and a Chinese weiqi legend, one hour after the match.
Just like Ke, Nie thinks AlphaGo is much stronger than any human player.
“I don’t think the match has any meaning because the huge capability gap between the two sides left no doubt who will win,” said Nie. “AlphaGo is a machine. The gap between human player and AlphaGo, for example, is like a race competition, in which we human players are like a bike or car, but AlphaGo is a plane, or even a spacecraft.”
Nie reckoned AlphaGo should be a coach for weiqi players as there is much to learn from the AI program's unusual moves in the three matches.
“I believe AlphaGo should be a coach for our professional weiqi players as a master to improve our weiqi capacity,” he said.
Although Ke fell behind fast in the beginning of the match, he fought hard to catch up with his AI opponent.
The margin became very small when the two players entered the endgame.
Ke and AlphaGo clashed hard on the last empty area on the board – the top edge.
The commentators tried very hard to guess what moves were to be made, but they were left surprised by the two sides.
During the endgame, AlphaGo chose to retreat in all places around the board, giving Ke some territory to keep the situation stable, as the machine was already confident about winning.
But Ke still chose to give up after struggling.
The match lasted over three and a half hours.",'% artificial intelligence%'
6,peopleschina,2017-07-28 00:00:00.000000,2017,http://en.people.cn/n3/2017/0728/c90000-9248132.html,"China’s Meitu Inc. prides itself to be a vibrant centre in the internet industry. Based in southeastern coastal city of Xiamen, Fujian province, Meitu Inc. was established in 2008 by two successive entrepreneurs, Chairman & angel investor Cai Wensheng and CEO Wu Xinhong; and it is currently ranked 6 amongst the world’s best internet companies.
Meitu is a global mobile internet platform and innovator in mobile video and photography, including Artificial Intelligence and Machine Learning algorithm-based proprietary facial recognition and virtual “try-on” technologies for hair and makeup. By leveraging its technology leadership and global user base, Meitu is building a mobile beauty ecosystem where users can discover, create and share new looks – right from their smartphone. Today, Meitu apps are installed on over 1.1 billion unique mobile devices around the world, with billions of photos generated by Meitu apps each month.
The launch of a new Meitu M8 Mobile Phone this year has added another advantage to the Meitu series of selfie smartphones featuring a revolutionary mix of hardware and cutting-edge Artificial Intelligence technology.
“Our mobile phones are second to none in the world. They can easily make use of our 23 products that include a photo-editing application, a short video and live streaming platform and even a mobile gaming application,” company officials told journalists on Thursday.
Meitu application can be operated in 1.1 million mobile devices, including software and hardware products such as Meitu, BeautyCam, BeautyPlus,SelfieCity, MakeupPlus, Meipai, Meitu Phones, and more.
They are not only enabling users to easily beautify images and ingraining the selfie culture in the minds of all, but also enhance a discovery of different self that represents beauty, trendiness and newness.
There are currently 456 million users in China and 500 million users in the rest of the world, including the African Continent, which is a new market where mostly young ladies are waiting for such opportunities to make their looks beautiful at all times. The continent is currently making frantic effort to catch up with the developed world. There are currently hundreds of thousands of Meitu service users in the continent.
Company officials have however assured of rolling out their products and services to the hook and cranny in the world.
To many products and services users, Meitu is here to help especially young ladies to fulfill what Maria Montez, the Queen of Technicolor once said: “When a woman improves her appearance, an amazing thing happens. People begin to pay attention to her, listen to her, seek her company, and ask her opinion. She becomes more confident, and this makes her look even better! As her confidence grows, so does the respect she receives – at work, at home, everywhere. As her insecurity falls away, she becomes more daring, self-assured, courageous; she finds she can do anything. Her life improves in every way.”
In the past five years, China's internet population has soared. There are now over 700 million Chinese web users, about 20 percent of the world's internet users. Meitu has brought about a comparative advantage and solution to most users not only in China but the rest of the world.
Abu Bakarr Kargbo is a Senior Staff Writer of Standard Times Newspaper in Sierra Leone and an intern at People’s Daily Online.",'% artificial intelligence%'
7,peopleschina,2017-08-02 00:00:00.000000,2017,http://en.people.cn/n3/2017/0802/c90000-9250209.html,"For the first time, a joint laboratory on artificial intelligence from the Chinese mainland has climbed to the top of the leaderboard of Stanford University’s reading comprehension task.
The joint laboratory of Harbin Institute of Technology and iFLYTEK Research now sits on top of Stanford Question Answering Dataset (SQuAD) leaderboard, followed by Microsoft Research Asia in second place and IBM Research in tenth place. Other Chinese institutes are also on the board, including Eigen Technology and Zhejiang University and Tsinghua University.
(Snapshot of SQuAD website)
SQuAD is a new reading comprehension dataset, consisting of questions posed by crowdworkers on a set of Wikipedia articles, where the answer to every question is a segment of text, or span, from the corresponding reading passage.
With over 100,000 question-answer pairs on some 500 articles, SQuAD is significantly larger than previous reading comprehension datasets, according to its website.
The Chinese joint laboratory scored an accuracy rate of 77.845 on exact matching, while runner-up Microsoft got 77.688 percent correct.
“It is relatively easy for machines to conduct simple deduction based on massive memorization. But it is harder to comprehend and deduct in a precise way. Almost all AI research teams are working on similar things,” Wang Shijin, deputy director of the champion joint laboratory, told Thepaper.cn.
Since May 2015, the joint laboratory preformed machine reading comprehension tasks. Specifically, the lab aims to make the machine read at the sixth-grade level, while one of iFLYTEK’s grander goals is to understand China's college entrance examination, as it hopes to make machine scores high enough for top universities.
In June, a Chengdu-designed artificial intelligence program called AI-MATHS scored 100 out of 150 on the national test paper on math in just 10 minutes.",'% artificial intelligence%'
8,peopleschina,2017-08-28 00:00:00.000000,2017,http://en.people.cn/n3/2017/0828/c202936-9261101.html,"CGTN photo
More AI-related and coding courses are expected to be set up in China’s primary and secondary schools, said the State Council on the recently issued document of the Next Generation Artificial Intelligence Development Plan.
Considered as the key to productivity reform in the upcoming decades, AI technology’s rapid development is changing the society profoundly. China should seize the opportunity and join the promotion of AI popular science, encouraging more fundamental courses focusing on AI initiation, the State Council pointed out in the document.
Constructing more science infrastructure and providing more AI-related courses, China’s educational organizations will cultivate interests for the youth and ensure them more accesses to AI education, said the Plan.
Besides primary and secondary schools, governments will also support institutions of higher learning, vocational schools and socialization training Institutions to carry out AI skills training and foster more professionals, in order to meet the great demand of social development.
Chinese students are watching an AI-robot. /Chinadaily Photo
At the same time, more preferential policies and measures will be i place to encourage and support domestic AI enterprises to cooperate with international leading AI schools, scientific research institutes and teams, according to the State Council.
In fact, China has made a three-step national strategy to boost the AI industry development in China.
Firstly, China should have achieved important progress in a new generation of AI theories and technologies by 2020, having actualized important progress in big data intelligence, cross-medium intelligence, swarm intelligence and other main fields.
Then, China’s AI industry is expected to enter the global high-end value chain, where AI will be widely used in more fields such as intelligent manufacturing, intelligent medicine and intelligent city.
Finally, China will have seen the establishment of AI laws and regulations, ethical norms and policy systems, and the formation of AI security assessment and control capabilities by 2025.",'% artificial intelligence%'
9,peopleschina,2017-08-26 00:00:00.000000,2017,http://en.people.cn/n3/2017/0826/c90000-9260686.html,"(Photo/CGTN)
China is shaping up to be a world leader in the data policy area, which is expected to help the country boost its IT industry and compete globally, said the top executive of BSA-the Software Alliance, the world's leading software industry trade group.
Victoria Espinel, president and CEO of the Software Alliance, said as there is no international consensus on the issue of data distribution, it would be beneficial for the industry if China takes on a leadership role.
""Big data technologies, cloud computing, artificial intelligence … none of these things are possible unless data can move 'round in the world,"" she said. ""China's IT industry has experienced impressive growth in recent years. And I think this is the moment for China to be a leader in this area.""
Operating in more than 60 countries globally, the US-headquartered alliance pioneered compliance programs to promote legal software use and foster public polices for technology innovation. Working with governments and public stakeholders globally, its policy team supports companies dealing with digital issues, including data privacy, data security and intellectual property.
Having operated in China for 20 years, the alliance said it would work with the nation in digital trade, security policy and intellectual property issues, aiming to create an environment in which all companies can compete equally.
According to Espinel, there is a need for deeper big data cooperation globally, as it will help set up a system to collectively benefit from the data economy and prevent cybercrime and protect privacy, as well.
""My suggestion for China is to try to be as global as possible. It would be really helpful that China can bring in as much expertise from other parts of the world to get a global perspective in data research and application.""
The Expo Center during the opening of the Big Data Expo, Guiyang, Guizhou Province, China, May 26, 2017. (Photo/Xinhua)
Big data technology is playing an increasingly significant role in boosting global economic growth. It is expected that big data technology will boost global GDP by more than two percent year-on-year through 2020, Bai Chunli, president of the Chinese Academy of Sciences, said during the China International Big Data Industry Expo in Guiyang, Guizhou Province, earlier this year.
""Big data technologies will involve various disciplines and industries. We should establish an international big data innovation organization, working together on setting regulations, research and development and the application of the new technologies,"" Bai said.
In 2016, China's core industry in the big-data sector attained a market value of 16.8 billion yuan (about 2.5 billion US dollars), a 45-percent increase from 2015, according to a recent survey by the China Academy of Information and Communications Technology. And the country is expected to grow big data industry sales to one trillion yuan by 2020.
The rapidly growing sector also means new challenges for the protection of confidential data and privacy.
Espinel said Chinese companies need not only appropriate regulations and policies to enable a better privacy environment but also to strengthen their awareness of cybersecurity.
She cited a study conducted by the association did previously, which said 57 percent of the surveyed chief information officers admitted that they did not do audits of company networks and have no idea of what is on the networks.",'% artificial intelligence%'
