"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 11:48:16,FALSE,NA,"975700480943972353",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mr_meyson",1049,TRUE,FALSE,NA,NA
"2","RT @elitescortt: Amatör ruhla Sevgili tadında beraberlik yaşamak istiyorsanız bir telefon kadar yakınınızdayım ������ #BağdatCaddesiEscortBayan…",FALSE,0,NA,2018-03-19 11:44:53,FALSE,NA,"975699626287386624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LgFeride",2,TRUE,FALSE,NA,NA
"3","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 11:44:09,FALSE,NA,"975699441792487424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Abdulla30872857",1049,TRUE,FALSE,NA,NA
"4","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 11:44:03,FALSE,NA,"975699417570344960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fatihdemirsoyy",1049,TRUE,FALSE,NA,NA
"5","Soru : “#Fenerbahçe ya da #Galatasaray'dan hangisini çalıştırmak istersiniz şu anda? “

#YılmazVural: ""Bir tanesi o… https://t.co/2IGbAhLY7B",FALSE,3,NA,2018-03-19 11:43:50,TRUE,NA,"975699364424364032",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","sporbord",0,FALSE,FALSE,NA,NA
"6","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 11:43:18,FALSE,NA,"975699229866975233",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hexapodprinter",1049,TRUE,FALSE,NA,NA
"7","RT @emreakkaya1905: Sözün bittiği yer; Bizim bu statda unutulmazlarımız var. Mayıs'lar bizim ������❤️ #SaldırGALATASARAY #Galatasaray https://t.…",FALSE,0,NA,2018-03-19 11:42:25,FALSE,NA,"975699007266807808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OzdalHamza",9,TRUE,FALSE,NA,NA
"8","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 11:42:02,FALSE,NA,"975698911028568064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","omer_emre",1049,TRUE,FALSE,NA,NA
"9","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 11:41:15,FALSE,NA,"975698712319098880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","batuhanacikbas",1049,TRUE,FALSE,NA,NA
"10","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 11:41:03,FALSE,NA,"975698661777858561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","garfielduykusu",1049,TRUE,FALSE,NA,NA
"11","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 11:40:31,FALSE,NA,"975698527010648065",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tamersezergs",1049,TRUE,FALSE,NA,NA
"12","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 11:38:03,FALSE,NA,"975697906429775872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TCAslan1905",1049,TRUE,FALSE,NA,NA
"13","RT @someratr: 17 Mart Cumartesi #SomeraReyting sıralaması:
1.#Fenerbahçe - #Galatasaray
2.#Survivor2018
3.#FaziletHanımveKızları
4.#SiyahBe…",FALSE,0,NA,2018-03-19 11:37:59,FALSE,NA,"975697891829473281",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aliaazakaria5",184,TRUE,FALSE,NA,NA
"14","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 11:37:50,FALSE,NA,"975697853308919808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","burakoguz11",1049,TRUE,FALSE,NA,NA
"15","Bizi sizin bu mücadeleniz, inancınız ve hırsınız şampiyon yapacak 
#Galatasaray",FALSE,0,NA,2018-03-19 11:37:40,FALSE,NA,"975697810963222528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Merveeymnx",0,FALSE,FALSE,NA,NA
"16","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 11:37:14,FALSE,NA,"975697700669808641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","muratkorkmaz23",1049,TRUE,FALSE,NA,NA
