,Text,favorited,favoriteCount,Date,truncated,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted
1,RT @lelav14: The world is silent while the humanitarian crisis is escalating in once a peaceful city. #BreakSilenceOnAfrin  #afrin https://…,FALSE,0,2018-03-19 19:34:36,FALSE,9.7581783735176E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MCKarlosiq,590,TRUE,FALSE
2,RT @PamelaTamby: Pdt que les Kurdes se font massacrer à #Afrin par les djihadistes syriens qui se sont ralliés à l'armée d'#Erdogan &amp; que l…,FALSE,0,2018-03-19 19:34:35,FALSE,9.75817833295819E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",isabellem480,1,TRUE,FALSE
3,"""Die islamistischen Verbündeten Ankaras morden, foltern, plündern und bedrohen Minderheiten. Das alles geschieht mi… https://t.co/NViNIgJXpL",FALSE,0,2018-03-19 19:34:35,TRUE,9.75817829709644E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",CansuOezdemir,0,FALSE,FALSE
4,RT @ShalawQaradaghi: I want to congratulate #nato for their new military and serviceman #SaveAfrin #BreaksilenconAfrin #afrin https://t.co/…,FALSE,0,2018-03-19 19:34:34,FALSE,9.7581782830884E+017,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",Ronah138111,4,TRUE,FALSE
5,RT @selingirit: Presidential spokesman Kalın says they are investigating the allegations of looting by FSA militia in #Afrin https://t.co/g…,FALSE,0,2018-03-19 19:34:34,FALSE,9.75817827998368E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Mustafa__Gurbuz,3,TRUE,FALSE
6,"RT @OliveBranchOp: 58 Days of Turkey's Operation Olive Branch in #Afrin

[January 20 - March 18]

#AfrinOperation 
#OperationOliveBranch ht…",FALSE,0,2018-03-19 19:34:33,FALSE,9.75817822419944E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AhmetTuranYldz8,102,TRUE,FALSE
7,"RT @fatihtezcan: Bugün 18 Mart 2018. 

#ÇanakkaleZaferi ‘nin 103.
yıldönümünde Mehmetçik ve Özgür Suriye Ordusu Afrin’de!

Türk Ordusu Afri…",FALSE,0,2018-03-19 19:34:33,FALSE,9.75817822151594E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rabiagly,749,TRUE,FALSE
8,RT @pin_klo: le due homepage dei principali quotidiani italiani non hanno una riga su #Afrin. Ma scrivetele poi 100 pagine al prossimo atta…,FALSE,0,2018-03-19 19:34:33,FALSE,9.75817822055092E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",lacuradeltempo,150,TRUE,FALSE
9,RT @nisacakilci: Çok şükür🙏🏻 #Afrin https://t.co/scnw44RcJJ,FALSE,0,2018-03-19 19:34:32,FALSE,9.75817820834582E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",arasbulut78,2,TRUE,FALSE
10,"RT @TobiasHuch: Hier ein Foto der #Erdogan-Trolle, die mich pausenlos anschreiben. Sogar die Tweets sind richtig zitiert. #Afrîn #Efrîn #Tü…",FALSE,0,2018-03-19 19:34:32,FALSE,9.75817820515852E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BENNEYSBAER,12,TRUE,FALSE
