X,Text,favorited,favoriteCount,replyToSN,Date,truncated,replyToSID,id,replyToUID,statusSource,screen_name,retweetCount,isRetweet,retweeted,longitude,latitude,from_user,reply_to,users_mentioned,retweet_from,hashtags_used
1,RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8,FALSE,0,NA,1521485629,FALSE,NA,975807570626732e3,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Necatiehitolu3,1330,TRUE,FALSE,NA,NA,Necatiehitolu3,NA,GalatasaraySK,GalatasaraySK,#Galatasaray
2,"RT @GSfutbolakademi: Dün şampiyon olarak olarak tamamladığımız Gebze Elit Cup'ta U11'lerimizden Akif turnuvanın en iyi kalecisi, Mert Efe B…",FALSE,0,NA,1521485627,FALSE,NA,975807564897275900,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",merveyky,19,TRUE,FALSE,NA,NA,merveyky,NA,GSfutbolakademi,GSfutbolakademi,character(0)
3,RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8,FALSE,0,NA,1521485603,FALSE,NA,975807463168634900,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",gokmenozden1905,1330,TRUE,FALSE,NA,NA,gokmenozden1905,NA,GalatasaraySK,GalatasaraySK,#Galatasaray
4,RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8,FALSE,0,NA,1521485589,FALSE,NA,975807404121251800,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",by_hakanx,1330,TRUE,FALSE,NA,NA,by_hakanx,NA,GalatasaraySK,GalatasaraySK,#Galatasaray
5,RT @beINSPORTS_TR: Fatih Terimli #Galatasaray'ın 26. haftalar itibariyle topladığı puanlar ve şampiyonlukları... #beinfinal https://t.co/gV…,FALSE,0,NA,1521485584,FALSE,NA,975807385523630100,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",akmkaan,18,TRUE,FALSE,NA,NA,akmkaan,NA,beINSPORTS_TR,beINSPORTS_TR,"c(""#Galatasaray'ın"", ""#beinfinal"")"
6,"RT @selcuuktopuz: 40 sene önce buraya bir adam indi.. 
@fatihterim 
#Galatasaray #İmparator #Hedef21 https://t.co/uxccdnR9cr",FALSE,0,NA,1521485488,FALSE,NA,975806981087879200,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oner7704,10,TRUE,FALSE,NA,NA,Oner7704,NA,"c(""selcuuktopuz"", ""fatihterim"")",selcuuktopuz,"c(""#Galatasaray"", ""#İmparator"", ""#Hedef21"")"
7,RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8,FALSE,0,NA,1521485473,FALSE,NA,975806919708430300,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",habibeylmaz05,1330,TRUE,FALSE,NA,NA,habibeylmaz05,NA,GalatasaraySK,GalatasaraySK,#Galatasaray
8,RT @uskudarGSstore: Günaydın Büyük #GALATASARAY Ailemiz. https://t.co/zPhY1syHLn,FALSE,0,NA,1521485470,FALSE,NA,975806906236272600,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RamazanSentrk,2,TRUE,FALSE,NA,NA,RamazanSentrk,NA,uskudarGSstore,uskudarGSstore,#GALATASARAY
9,"RT @Galatasarayiz_: #GALATASARAYlılarTakiplesiyor #Galatasaray #BugünGünlerdenGalatasaray #LiderGalatasaray
#BugünGünlerdenGalatasaray
#Sal…",FALSE,0,NA,1521485422,FALSE,NA,975806703878000600,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ozguryildiz3534,8,TRUE,FALSE,NA,NA,ozguryildiz3534,NA,Galatasarayiz_,Galatasarayiz_,"c(""#GALATASARAYlılarTakiplesiyor"", ""#Galatasaray"", ""#BugünGünlerdenGalatasaray"", ""#LiderGalatasaray"", ""#BugünGünlerdenGalatasaray"")"
10,RT @AslanArenasi: Serdar Ali Çelikler: #Galatasaray muhtemelen şampiyonluğun en önemli adayı haline geldi. Bence Beşiktaş ile Galatasaray y…,FALSE,0,NA,1521485369,FALSE,NA,975806481835745300,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",habibeylmaz05,2,TRUE,FALSE,NA,NA,habibeylmaz05,NA,AslanArenasi,AslanArenasi,#Galatasaray
11,"RT @selcuuktopuz: 40 sene önce buraya bir adam indi.. 
@fatihterim 
#Galatasaray #İmparator #Hedef21 https://t.co/uxccdnR9cr",FALSE,0,NA,1521485349,FALSE,NA,975806398733922300,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",woodyinhoX11,10,TRUE,FALSE,NA,NA,woodyinhoX11,NA,"c(""selcuuktopuz"", ""fatihterim"")",selcuuktopuz,"c(""#Galatasaray"", ""#İmparator"", ""#Hedef21"")"
12,"RT @selcuuktopuz: 40 sene önce buraya bir adam indi.. 
@fatihterim 
#Galatasaray #İmparator #Hedef21 https://t.co/uxccdnR9cr",FALSE,0,NA,1521485347,FALSE,NA,975806388801765400,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",HOUS__OF__LIONS,10,TRUE,FALSE,NA,NA,HOUS__OF__LIONS,NA,"c(""selcuuktopuz"", ""fatihterim"")",selcuuktopuz,"c(""#Galatasaray"", ""#İmparator"", ""#Hedef21"")"
13,RT @GalatasaraySMT: Günaydın Büyük #Galatasaray Ailesi... https://t.co/Q6dklLOBUE,FALSE,0,NA,1521485297,FALSE,NA,975806181188030500,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",habibeylmaz05,1,TRUE,FALSE,NA,NA,habibeylmaz05,NA,GalatasaraySMT,GalatasaraySMT,#Galatasaray
14,"RT @selcuuktopuz: 40 sene önce buraya bir adam indi.. 
@fatihterim 
#Galatasaray #İmparator #Hedef21 https://t.co/uxccdnR9cr",FALSE,0,NA,1521485284,FALSE,NA,975806126582370300,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Cihan_Djorkaeff,10,TRUE,FALSE,NA,NA,Cihan_Djorkaeff,NA,"c(""selcuuktopuz"", ""fatihterim"")",selcuuktopuz,"c(""#Galatasaray"", ""#İmparator"", ""#Hedef21"")"
15,"Galatasaray-Trabzonspor maçına Batı 401 den 2 adet yan yana bilet vardır.

*sadece ciddi alıcılar mesaj atsın. 

*B… https://t.co/622iktbt54",FALSE,0,NA,1521485259,TRUE,NA,975806018931306500,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1enver7,0,FALSE,FALSE,NA,NA,1enver7,NA,character(0),NA,character(0)
